Name MC MP
Bitcoin 1,320,321,443,571 56.01%
Ethereum 427,824,081,134 18.15%
Tether 112,512,933,510 4.77%
BNB 89,780,869,083 3.81%
Solana 67,512,700,098 2.86%
USDC 32,413,948,813 1.37%
XRP 28,549,930,995 1.21%
Toncoin 19,213,296,685 0.82%
Dogecoin 19,181,302,518 0.81%
Cardano 14,763,713,744 0.63%
"Shiba Inu" 11,602,824,937 0.49%
Avalanche 11,402,644,650 0.48%
TRON 10,245,339,399 0.43%
Polkadot 8,949,919,422 0.38%
Chainlink 8,641,724,047 0.37%
"Bitcoin Cash" 8,417,638,662 0.36%
Uniswap 6,665,407,592 0.28%
Polygon 5,926,735,623 0.25%
"NEAR Protocol" 5,797,562,159 0.25%
Litecoin 5,797,103,305 0.25%
Dai 5,348,053,110 0.23%
"UNUS SED LEO" 5,205,362,162 0.22%
Pepe 4,901,177,038 0.21%
"Internet Computer" 4,209,763,141 0.18%
Kaspa 3,752,674,293 0.16%
"Ethereum Classic" 3,607,108,564 0.15%
Aptos 3,470,477,995 0.15%
Monero 3,275,140,192 0.14%
Render 3,123,837,812 0.13%
Hedera 2,960,355,701 0.13%
Stellar 2,870,722,497 0.12%
Filecoin 2,830,833,778 0.12%
Mantle 2,832,033,771 0.12%
Cosmos 2,790,764,033 0.12%
OKB 2,732,097,086 0.12%
Stacks 2,630,946,888 0.11%
Arbitrum 2,566,674,686 0.11%
Cronos 2,535,065,857 0.11%
Immutable 2,494,760,937 0.11%
dogwifhat 2,426,638,441 0.1%
"First Digital USD" 2,441,899,517 0.1%
Sui 2,230,391,352 0.09%
Optimism 2,170,285,158 0.09%
Maker 2,168,032,892 0.09%
"The Graph" 2,098,882,968 0.09%
Bittensor 2,092,029,407 0.09%
Injective 2,068,772,810 0.09%
VeChain 2,033,769,088 0.09%
"Lido DAO" 1,949,576,625 0.08%
JasmyCoin 1,854,136,123 0.08%
Notcoin 1,832,124,892 0.08%
Arweave 1,785,975,210 0.08%
FLOKI 1,787,247,605 0.08%
Fantom 1,686,105,470 0.07%
Bonk 1,603,132,339 0.07%
"Bitget Token" 1,596,445,194 0.07%
Ondo 1,568,832,973 0.07%
"Theta Network" 1,573,542,551 0.07%
THORChain 1,493,991,540 0.06%
Celestia 1,459,179,639 0.06%
"Brett (Based)" 1,441,037,378 0.06%
Core 1,410,986,629 0.06%
Aave 1,282,746,600 0.05%
"Pyth Network" 1,237,677,789 0.05%
Algorand 1,215,388,486 0.05%
Sei 1,200,034,845 0.05%
Jupiter 1,187,528,254 0.05%
Fetch.ai 1,153,491,856 0.05%
Flare 1,141,838,009 0.05%
Ethena 1,093,625,976 0.05%
Starknet 1,091,643,716 0.05%
Flow 1,029,401,656 0.04%
Quant 982,532,143 0.04%
"KuCoin Token" 973,519,504 0.04%
Gala 968,597,793 0.04%
"Bitcoin SV" 968,346,086 0.04%
Beam 956,301,823 0.04%
"Axie Infinity" 931,586,524 0.04%
ORDI 896,996,699 0.04%
"BitTorrent [New]" 882,155,827 0.04%
"dYdX (Native)" 867,337,684 0.04%
MultiversX 859,919,542 0.04%
zkSync 853,797,603 0.04%
Gnosis 843,671,334 0.04%
Pendle 839,599,746 0.04%
Neo 838,208,367 0.04%
Chiliz 824,812,566 0.03%
Ronin 824,273,325 0.03%
"The Sandbox" 798,668,505 0.03%
Worldcoin 777,448,295 0.03%
GateToken 771,993,349 0.03%
Tezos 760,095,829 0.03%
Conflux 753,120,052 0.03%
"Ethereum Name Service" 751,506,580 0.03%
Wormhole 748,244,981 0.03%
Nexo 749,449,877 0.03%
"Akash Network" 734,452,026 0.03%
SingularityNET 732,648,918 0.03%
USDD 730,792,569 0.03%
Oasis 717,268,797 0.03%
